allcode,0to12,13to18,19to25,26to40,41to60,61to90,,code,0to12,13to18,19to25,26to40,41to60,61to90,,age0to12,age13to18,age19to25,age26to40,age41to60,age61to90
E02004331,1103,444,648,1202,1943,1719,,E02000356,1148,379,485,3042,1815,682,,0.209547427,0.215592681,0.058217537,0.345285322,0.262377799,0.125247852
E02004318,889,395,484,1228,1788,1589,,E02000357,1639,595,535,1447,1516,858,,0.361748295,0.38743039,0.070196454,0.10192249,0.168085777,0.183410443
E02004348,862,491,430,988,2544,2647,,E02000358,1579,563,996,4958,2471,1140,,0.343149411,0.361972951,0.18064207,0.637625877,0.469252602,0.276602776
E02004332,1130,505,553,1289,2248,1520,,E02000359,1126,488,604,2284,1512,694,,0.202727836,0.30230708,0.08672736,0.22963076,0.166824346,0.129213483
E02004319,1156,542,597,1409,2281,1711,,E02000360,2160,789,964,3845,2667,1148,,0.523248605,0.54176611,0.172975563,0.46780592,0.531062756,0.27924653
E02004349,1562,632,697,1568,2553,2197,,E02000361,1096,394,836,3481,1623,651,,0.193428394,0.227525855,0.142309535,0.412267318,0.201829076,0.115003305
E02004350,1369,583,705,1743,2826,2488,,E02000362,1137,480,607,2374,1557,672,,0.206137632,0.295942721,0.087446095,0.243362832,0.181015453,0.121943159
E02004333,858,443,474,1112,2091,2089,,E02000363,2517,906,949,3240,2681,1120,,0.633911965,0.634844869,0.169381888,0.37549588,0.535477767,0.269993391
E02004334,1117,499,596,1276,2173,1671,,E02000364,1208,505,760,3634,2165,1071,,0.228146311,0.315831344,0.124101581,0.43561184,0.372753075,0.253800397
E02004335,1001,428,578,1136,1674,1485,,E02000365,1507,588,1345,6772,2652,1486,,0.32083075,0.381861575,0.264254911,0.914403418,0.526332387,0.390945142
E02004336,893,388,512,1038,1958,2028,,E02000366,1577,602,806,2751,2103,1059,,0.342529448,0.392999204,0.135122185,0.300884956,0.353200883,0.249834765
E02004351,1090,500,590,1098,2026,1751,,E02000367,1545,572,950,4684,2268,706,,0.332610043,0.369132856,0.169621466,0.595819347,0.405234942,0.133179114
E02004337,1464,641,766,1712,2761,2212,,E02000368,1572,637,974,3452,2222,1037,,0.340979541,0.420843278,0.175371346,0.407842539,0.390728477,0.242564442
E02004338,1026,455,533,1088,2051,1650,,E02000369,2007,721,1236,5398,2644,1118,,0.475821451,0.487669053,0.238140872,0.704760452,0.523809524,0.269332452
E02004339,924,420,411,1019,2017,2096,,E02000370,1268,514,1042,3256,1972,744,,0.246745195,0.322991249,0.191662674,0.377937138,0.311888994,0.145736946
E02004352,1096,488,714,1317,2233,1775,,E02000371,1395,702,3162,5977,2305,815,,0.286112833,0.472553699,0.699568759,0.793103448,0.416903185,0.169200264
E02004353,950,544,536,1012,2313,2176,,E02006918,2031,607,678,2892,1812,643,,0.483261004,0.396976929,0.104456157,0.322398535,0.261431725,0.112359551
E02004354,1402,625,631,1688,2582,2058,,E02006921,2353,650,786,2039,1661,820,,0.583075015,0.431185362,0.130330618,0.192249008,0.213812677,0.170852611
E02004355,1252,530,622,1321,1966,1674,,E02000372,1575,629,1117,2701,2298,1092,,0.341909485,0.414478918,0.209631049,0.293256027,0.41469568,0.260740251
E02004340,1576,649,854,1744,2808,2545,,E02000373,1449,607,572,1452,1546,777,,0.302851829,0.396976929,0.079060853,0.102685383,0.177546515,0.156642432
E02004341,1131,618,546,1244,2785,2037,,E02000374,1046,418,650,1966,1527,897,,0.177929324,0.246618934,0.097747964,0.181110772,0.171554715,0.196298744
E02004342,1226,497,612,1138,1363,976,,E02000375,1082,296,609,2356,1644,807,,0.189088655,0.14956245,0.087925252,0.240616417,0.208451593,0.16655651
